"Timestamp","Status","Source","Destination","Message"
"2025-10-18 19:35:32","SUCCESS","D:\Source\Folder 2\Document 2.1.txt","D:\Archive\Source\Folder 2\Document 2.1.txt","File moved successfully."
"2025-10-18 19:35:32","SUCCESS","D:\Source\Folder 2\Document 2.2.txt","D:\Archive\Source\Folder 2\Document 2.2.txt","File moved successfully."
"2025-10-18 19:35:32","SUCCESS","D:\Source\Folder 2\Document 2.3.txt","D:\Archive\Source\Folder 2\Document 2.3.txt","File moved successfully."
"2025-10-18 19:35:32","SUCCESS","D:\Source\Folder 2\Document 2.4.txt","D:\Archive\Source\Folder 2\Document 2.4.txt","File moved successfully."
"2025-10-18 19:35:32","SUCCESS","D:\Source\Folder 2\Document 2.5.txt","D:\Archive\Source\Folder 2\Document 2.5.txt","File moved successfully."
